Number,Time (h)
23216,8.120555555555555
31175,8.120555555555555
30210,8.12138888888889
3520,8.121666666666666
41208,8.122777777777777
1905,8.122777777777777
13893,8.122777777777777
25168,8.122777777777777
31019,8.123611111111112
40363,8.123888888888889
14849,8.123888888888889
27624,8.124166666666667
39333,8.124444444444444
15301,8.125
21011,8.125
32606,8.125555555555556
45931,8.126111111111111
35031,8.126944444444444
38297,8.126944444444444
19975,8.126944444444444
36232,8.126944444444444
37297,8.128333333333334
31965,8.128333333333334
39355,8.12888888888889
21249,8.129166666666666
19873,8.129722222222222
18473,8.131944444444445
35694,8.132222222222222
40481,8.132222222222222
38198,8.132222222222222
17760,8.133055555555556
5453,8.133611111111112
5959,8.133611111111112
34617,8.133888888888889
20341,8.133888888888889
33121,8.134166666666667
30707,8.134444444444444
13326,8.134722222222223
14508,8.135
21386,8.135277777777778
39177,8.136666666666667
13548,8.136666666666667
14248,8.136666666666667
15548,8.136666666666667
16416,8.136666666666667
38856,8.136944444444444
40303,8.138055555555555
40306,8.138055555555555
40304,8.138333333333334
52715,8.139444444444445
31036,8.139444444444445
3724,8.139722222222222
31033,8.139722222222222
36457,8.14
4122,8.140555555555556
15212,8.140833333333333
20688,8.141666666666667
38365,8.142222222222221
32164,8.142222222222221
34639,8.1425
31365,8.1425
20695,8.143333333333333
16022,8.143611111111111
15152,8.144444444444444
12253,8.145
20393,8.145
23001,8.145833333333334
13814,8.14611111111111
13799,8.146666666666667
30766,8.1475
30789,8.1475
32039,8.1475
37440,8.148055555555555
23263,8.149444444444445
36570,8.149722222222222
39784,8.150277777777777
14844,8.150277777777777
37804,8.150555555555556
40648,8.150555555555556
14838,8.150555555555556
45947,8.150833333333333
13412,8.150833333333333
45994,8.150833333333333
5954,8.151666666666667
38665,8.152222222222223
27065,8.152222222222223
37241,8.1525
20118,8.153333333333332
40966,8.153611111111111
40967,8.153611111111111
25271,8.153611111111111
39906,8.155555555555555
15600,8.155555555555555
40653,8.155833333333334
5111,8.15611111111111
13804,8.15638888888889
36967,8.156666666666666
20612,8.156944444444445
30892,8.156944444444445
34980,8.157222222222222
39085,8.157777777777778
39136,8.157777777777778
1375,8.157777777777778
5750,8.158888888888889
39873,8.158888888888889
16263,8.158888888888889
34168,8.159722222222221
14545,8.160277777777777
30631,8.161111111111111
45479,8.161666666666667
30991,8.162222222222223
24636,8.1625
34575,8.163611111111111
40027,8.164166666666667
15140,8.164444444444445
39078,8.165277777777778
4177,8.165555555555555
39316,8.165833333333333
40569,8.16611111111111
40663,8.16611111111111
36204,8.167222222222222
25031,8.167222222222222
37008,8.167777777777777
40765,8.168055555555556
38060,8.169444444444444
41090,8.169444444444444
41102,8.169444444444444
41086,8.169722222222223
41099,8.169722222222223
33411,8.170277777777779
20167,8.170555555555556
33509,8.171388888888888
36704,8.171388888888888
45610,8.171666666666667
21319,8.172222222222222
31971,8.172222222222222
36566,8.1725
45577,8.173333333333334
4090,8.173333333333334
30928,8.173333333333334
25423,8.174444444444445
1394,8.175277777777778
36462,8.175555555555556
45587,8.176111111111112
46262,8.176111111111112
20520,8.176111111111112
21368,8.176666666666666
21393,8.176666666666666
33243,8.176944444444445
5536,8.176944444444445
5576,8.177222222222222
27451,8.1775
27449,8.1775
34395,8.177777777777777
27450,8.177777777777777
35316,8.178055555555556
27452,8.178055555555556
13945,8.178333333333333
20658,8.178611111111111
37671,8.178611111111111
29901,8.178611111111111
37089,8.178888888888888
33585,8.179166666666667
3606,8.179444444444444
3695,8.179722222222223
39478,8.180555555555555
31074,8.180555555555555
24611,8.182777777777778
52041,8.183055555555555
29900,8.183055555555555
16219,8.18361111111111
11400,8.184166666666666
13948,8.184166666666666
16282,8.184166666666666
35114,8.184444444444445
39269,8.185
33980,8.185
34867,8.185555555555556
39215,8.185555555555556
40408,8.185833333333333
14921,8.186111111111112
30161,8.186111111111112
30162,8.186111111111112
21173,8.186666666666667
52780,8.187222222222223
15360,8.1875
39094,8.187777777777777
1311,8.189166666666667
46258,8.189166666666667
20641,8.189166666666667
31546,8.189166666666667
33606,8.189444444444444
13106,8.189722222222223
32487,8.19
35530,8.190555555555555
45682,8.190833333333334
45658,8.19138888888889
38651,8.191666666666666
14895,8.191944444444445
14049,8.192777777777778
45695,8.193333333333333
40642,8.19361111111111
